Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 19:15 EST
"Nutrient data for: 01080, Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids and vitamin A and vitamin D"
Nutrient,Unit,1.25Value per 125 g,"1 cup = 245.0g","1 quart = 980.0g",
Proximates
"Water",g,111.08,217.71,870.83
"Energy",kcal,64,125,500
"Protein",g,4.35,8.53,34.10
"Total lipid (fat)",g,2.40,4.70,18.82
"Carbohydrate, by difference",g,6.21,12.18,48.71
"Fiber, total dietary",g,0.0,0.0,0.0
Minerals
"Calcium, Ca",mg,160,314,1254
"Iron, Fe",mg,0.06,0.12,0.49
"Magnesium, Mg",mg,18,34,137
"Phosphorus, P",mg,125,245,980
"Potassium, K",mg,202,397,1588
"Sodium, Na",mg,65,127,510
"Zinc, Zn",mg,0.50,0.98,3.92
Vitamins
"Vitamin C, total ascorbic acid",mg,1.2,2.4,9.8
"Thiamin",mg,0.050,0.098,0.392
"Riboflavin",mg,0.216,0.424,1.695
"Niacin",mg,0.112,0.220,0.882
"Vitamin B-6",mg,0.056,0.110,0.441
"Folate, DFE",µg,6,12,49
"Vitamin B-12",µg,0.48,0.93,3.72
"Vitamin A, RAE",µg,70,137,549
"Vitamin A, IU",IU,255,500,1999
"Vitamin D (D2 + D3)",µg,1.2,2.4,9.8
"Vitamin D",IU,50,98,392
Lipids
"Fatty acids, total saturated",g,1.494,2.928,11.711
"Fatty acids, total monounsaturated",g,0.694,1.360,5.439
"Fatty acids, total polyunsaturated",g,0.089,0.174,0.696
"Cholesterol",mg,10,20,78
Amino Acids
Other
