Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 16:36 EST
"Nutrient data for: 19335, Sugars, granulated"
Nutrient,Unit,3Value per 300 g,"3 serving packet = 8.4g","3 tsp = 12.6g","3 cup = 600.0g","3 serving 1 cube = 6.9g",
Proximates
"Water",g,0.06,0.00,0.00,0.12,0.00
"Energy",kcal,1161,33,49,2322,27
"Protein",g,0.00,0.00,0.00,0.00,0.00
"Total lipid (fat)",g,0.00,0.00,0.00,0.00,0.00
"Carbohydrate, by difference",g,299.94,8.40,12.60,599.88,6.90
"Fiber, total dietary",g,0.0,0.0,0.0,0.0,0.0
"Sugars, total",g,299.40,8.38,12.57,598.80,6.89
Minerals
"Calcium, Ca",mg,3,0,0,6,0
"Iron, Fe",mg,0.15,0.00,0.01,0.30,0.00
"Magnesium, Mg",mg,0,0,0,0,0
"Phosphorus, P",mg,0,0,0,0,0
"Potassium, K",mg,6,0,0,12,0
"Sodium, Na",mg,3,0,0,6,0
"Zinc, Zn",mg,0.03,0.00,0.00,0.06,0.00
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0,0.0,0.0
"Thiamin",mg,0.000,0.000,0.000,0.000,0.000
"Riboflavin",mg,0.057,0.002,0.002,0.114,0.001
"Niacin",mg,0.000,0.000,0.000,0.000,0.000
"Vitamin B-6",mg,0.000,0.000,0.000,0.000,0.000
"Folate, DFE",µg,0,0,0,0,0
"Vitamin B-12",µg,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0,0,0
"Vitamin A, IU",IU,0,0,0,0,0
"Vitamin E (alpha-tocopherol)",mg,0.00,0.00,0.00,0.00,0.00
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,0.0,0.0,0.0,0.0,0.0
Lipids
"Fatty acids, total saturated",g,0.000,0.000,0.000,0.000,0.000
"Fatty acids, total monounsaturated",g,0.000,0.000,0.000,0.000,0.000
"Fatty acids, total polyunsaturated",g,0.000,0.000,0.000,0.000,0.000
"Cholesterol",mg,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0
