Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 16:35 EST
"Nutrient data for: 19334, Sugars, brown"
Nutrient,Unit,4Value per 400 g,"2.5 tsp unpacked = 7.5g","2.5 cup packed = 550.0g","2.5 cup unpacked = 362.5g","2.5 tsp packed = 11.5g","2.5 tsp brownulated = 8.0g",
Proximates
"Water",g,5.36,0.10,7.37,4.86,0.15,0.11
"Energy",kcal,1520,28,2090,1378,44,30
"Protein",g,0.48,0.01,0.66,0.44,0.01,0.01
"Total lipid (fat)",g,0.00,0.00,0.00,0.00,0.00,0.00
"Carbohydrate, by difference",g,392.36,7.36,539.50,355.58,11.28,7.85
"Fiber, total dietary",g,0.0,0.0,0.0,0.0,0.0,0.0
"Sugars, total",g,388.08,7.28,533.61,351.70,11.16,7.76
Minerals
"Calcium, Ca",mg,332,6,456,301,10,7
"Iron, Fe",mg,2.84,0.05,3.90,2.57,0.08,0.06
"Magnesium, Mg",mg,36,1,50,33,1,1
"Phosphorus, P",mg,16,0,22,14,0,0
"Potassium, K",mg,532,10,732,482,15,11
"Sodium, Na",mg,112,2,154,102,3,2
"Zinc, Zn",mg,0.12,0.00,0.16,0.11,0.00,0.00
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0,0.0,0.0,0.0
"Thiamin",mg,0.000,0.000,0.000,0.000,0.000,0.000
"Riboflavin",mg,0.000,0.000,0.000,0.000,0.000,0.000
"Niacin",mg,0.440,0.008,0.605,0.399,0.013,0.009
"Vitamin B-6",mg,0.164,0.003,0.226,0.149,0.005,0.003
"Folate, DFE",µg,4,0,6,4,0,0
"Vitamin B-12",µg,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0,0,0,0
"Vitamin A, IU",IU,0,0,0,0,0,0
"Vitamin E (alpha-tocopherol)",mg,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,0.0,0.0,0.0,0.0,0.0,0.0
Lipids
"Fatty acids, total saturated",g,0.000,0.000,0.000,0.000,0.000,0.000
"Fatty acids, total monounsaturated",g,0.000,0.000,0.000,0.000,0.000,0.000
"Fatty acids, total polyunsaturated",g,0.000,0.000,0.000,0.000,0.000,0.000
"Cholesterol",mg,0,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0
