Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 19:39 EST
"Nutrient data for: 01284, Yogurt, Greek, strawberry, lowfat"
Nutrient,Unit,1.875Value per 187.5 g,"1 container (5.3 oz) = 150.0g",
Proximates
"Water",g,144.02,115.22
"Energy",kcal,193,154
"Protein",g,15.32,12.26
"Total lipid (fat)",g,4.82,3.86
"Carbohydrate, by difference",g,22.29,17.84
"Fiber, total dietary",g,1.9,1.5
"Sugars, total",g,21.06,16.84
Minerals
"Calcium, Ca",mg,165,132
"Iron, Fe",mg,0.13,0.11
"Magnesium, Mg",mg,19,15
"Phosphorus, P",mg,204,164
"Potassium, K",mg,242,194
"Sodium, Na",mg,62,50
"Zinc, Zn",mg,0.77,0.61
Vitamins
"Vitamin C, total ascorbic acid",mg,1.3,1.0
"Thiamin",mg,0.069,0.056
"Riboflavin",mg,0.441,0.352
"Niacin",mg,0.384,0.307
"Vitamin B-6",mg,0.092,0.074
"Folate, DFE",µg,17,14
"Vitamin B-12",µg,0.94,0.75
"Vitamin A, RAE",µg,58,46
"Vitamin A, IU",IU,208,166
"Vitamin E (alpha-tocopherol)",mg,0.04,0.03
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
"Vitamin K (phylloquinone)",µg,0.0,0.0
Lipids
"Fatty acids, total saturated",g,2.998,2.398
"Fatty acids, total monounsaturated",g,1.219,0.975
"Fatty acids, total polyunsaturated",g,0.212,0.169
"Fatty acids, total trans",g,0.139,0.111
"Cholesterol",mg,22,18
Amino Acids
Other
"Caffeine",mg,0,0
