Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 19:39 EST
"Nutrient data for: 01284, Yogurt, Greek, strawberry, lowfat"
Nutrient,Unit,2.5Value per 250 g,"1 container (5.3 oz) = 150.0g",
Proximates
"Water",g,192.02,115.22
"Energy",kcal,258,154
"Protein",g,20.42,12.26
"Total lipid (fat)",g,6.42,3.86
"Carbohydrate, by difference",g,29.72,17.84
"Fiber, total dietary",g,2.5,1.5
"Sugars, total",g,28.08,16.84
Minerals
"Calcium, Ca",mg,220,132
"Iron, Fe",mg,0.18,0.11
"Magnesium, Mg",mg,25,15
"Phosphorus, P",mg,272,164
"Potassium, K",mg,322,194
"Sodium, Na",mg,82,50
"Zinc, Zn",mg,1.02,0.61
Vitamins
"Vitamin C, total ascorbic acid",mg,1.8,1.0
"Thiamin",mg,0.092,0.056
"Riboflavin",mg,0.587,0.352
"Niacin",mg,0.512,0.307
"Vitamin B-6",mg,0.122,0.074
"Folate, DFE",µg,22,14
"Vitamin B-12",µg,1.25,0.75
"Vitamin A, RAE",µg,78,46
"Vitamin A, IU",IU,278,166
"Vitamin E (alpha-tocopherol)",mg,0.05,0.03
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
"Vitamin K (phylloquinone)",µg,0.0,0.0
Lipids
"Fatty acids, total saturated",g,3.998,2.398
"Fatty acids, total monounsaturated",g,1.625,0.975
"Fatty acids, total polyunsaturated",g,0.283,0.169
"Fatty acids, total trans",g,0.185,0.111
"Cholesterol",mg,30,18
Amino Acids
Other
"Caffeine",mg,0,0
