Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 19:42 EST
"Nutrient data for: 01276, Yogurt, Greek, strawberry, DANNON OIKOS"
Nutrient,Unit,1.25Value per 125 g,"5.3 oz = 150.0g",
Proximates
"Water",g,95.75,114.90
"Energy",kcal,132,159
"Protein",g,10.31,12.38
"Total lipid (fat)",g,3.65,4.38
"Carbohydrate, by difference",g,14.59,17.50
"Fiber, total dietary",g,1.2,1.5
"Sugars, total",g,13.75,16.50
Minerals
"Calcium, Ca",mg,108,129
"Iron, Fe",mg,0.09,0.11
"Magnesium, Mg",mg,12,15
"Phosphorus, P",mg,138,165
"Potassium, K",mg,164,196
"Sodium, Na",mg,42,51
"Zinc, Zn",mg,0.49,0.58
Vitamins
"Thiamin",mg,0.045,0.054
"Riboflavin",mg,0.284,0.340
"Niacin",mg,0.262,0.315
"Vitamin B-6",mg,0.062,0.075
"Vitamin B-12",µg,0.70,0.84
"Vitamin A, RAE",µg,1,2
"Vitamin A, IU",IU,16,20
"Vitamin D (D2 + D3)",µg,0.0,0.0
"Vitamin D",IU,0,0
Lipids
"Fatty acids, total saturated",g,2.290,2.748
"Fatty acids, total monounsaturated",g,0.931,1.118
"Fatty acids, total polyunsaturated",g,0.164,0.196
"Fatty acids, total trans",g,0.106,0.128
"Cholesterol",mg,16,20
Amino Acids
Other
