Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 17:02 EST
"Nutrient data for: 12155, Nuts, walnuts, english"
Nutrient,Unit,2Value per 200 g,"2 cup, chopped = 234.0g","2 cup, ground = 160.0g","2 cup, in shell, edible yield (7 nuts) = 56.0g","2 cup shelled (50 halves) = 200.0g","2 cup pieces or chips = 240.0g","2 oz (14 halves) = 56.7g",
Proximates
"Water",g,8.14,9.52,6.51,2.28,8.14,9.77,2.31
"Energy",kcal,1308,1530,1046,366,1308,1570,371
"Protein",g,30.46,35.64,24.37,8.53,30.46,36.55,8.64
"Total lipid (fat)",g,130.42,152.59,104.34,36.52,130.42,156.50,36.97
"Carbohydrate, by difference",g,27.42,32.08,21.94,7.68,27.42,32.90,7.77
"Fiber, total dietary",g,13.4,15.7,10.7,3.8,13.4,16.1,3.8
"Sugars, total",g,5.22,6.11,4.18,1.46,5.22,6.26,1.48
Minerals
"Calcium, Ca",mg,196,229,157,55,196,235,56
"Iron, Fe",mg,5.82,6.81,4.66,1.63,5.82,6.98,1.65
"Magnesium, Mg",mg,316,370,253,88,316,379,90
"Phosphorus, P",mg,692,810,554,194,692,830,196
"Potassium, K",mg,882,1032,706,247,882,1058,250
"Sodium, Na",mg,4,5,3,1,4,5,1
"Zinc, Zn",mg,6.18,7.23,4.94,1.73,6.18,7.42,1.75
Vitamins
"Vitamin C, total ascorbic acid",mg,2.6,3.0,2.1,0.7,2.6,3.1,0.7
"Thiamin",mg,0.682,0.798,0.546,0.191,0.682,0.818,0.193
"Riboflavin",mg,0.300,0.351,0.240,0.084,0.300,0.360,0.085
"Niacin",mg,2.250,2.632,1.800,0.630,2.250,2.700,0.638
"Vitamin B-6",mg,1.074,1.257,0.859,0.301,1.074,1.289,0.304
"Folate, DFE",µg,196,229,157,55,196,235,56
"Vitamin B-12",µg,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,2,2,2,1,2,2,1
"Vitamin A, IU",IU,40,47,32,11,40,48,11
"Vitamin E (alpha-tocopherol)",mg,1.40,1.64,1.12,0.39,1.40,1.68,0.40
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,5.4,6.3,4.3,1.5,5.4,6.5,1.5
Lipids
"Fatty acids, total saturated",g,12.252,14.335,9.802,3.431,12.252,14.702,3.473
"Fatty acids, total monounsaturated",g,17.866,20.903,14.293,5.002,17.866,21.439,5.065
"Fatty acids, total polyunsaturated",g,94.348,110.387,75.478,26.417,94.348,113.218,26.748
"Cholesterol",mg,0,0,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0,0
Footnotes
(a)"Unroasted"
(b)"Other phytosterols total 18.2 mg/100g; these include delta 5-avenasterol (7.3), campestanol (2.3), and other minor phytosterols (8.6 mg)."
