Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 17:01 EST
"Nutrient data for: 12078, Nuts, brazilnuts, dried, unblanched"
Nutrient,Unit,2Value per 200 g,"2 cup, whole = 266.0g","2 kernel = 10.0g","2 oz (6 kernels) = 56.7g",
Proximates
"Water",g,6.84,9.10,0.34,1.94
"Energy",kcal,1318,1753,66,374
"Protein",g,28.64,38.09,1.43,8.12
"Total lipid (fat)",g,134.20,178.49,6.71,38.05
"Carbohydrate, by difference",g,23.48,31.23,1.17,6.66
"Fiber, total dietary",g,15.0,20.0,0.8,4.3
"Sugars, total",g,4.66,6.20,0.23,1.32
Minerals
"Calcium, Ca",mg,320,426,16,91
"Iron, Fe",mg,4.86,6.46,0.24,1.38
"Magnesium, Mg",mg,752,1000,38,213
"Phosphorus, P",mg,1450,1928,72,411
"Potassium, K",mg,1318,1753,66,374
"Sodium, Na",mg,6,8,0,2
"Zinc, Zn",mg,8.12,10.80,0.41,2.30
Vitamins
"Vitamin C, total ascorbic acid",mg,1.4,1.9,0.1,0.4
"Thiamin",mg,1.234,1.641,0.062,0.350
"Riboflavin",mg,0.070,0.093,0.004,0.020
"Niacin",mg,0.590,0.785,0.030,0.167
"Vitamin B-6",mg,0.202,0.269,0.010,0.057
"Folate, DFE",µg,44,59,2,12
"Vitamin B-12",µg,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0,0
"Vitamin A, IU",IU,0,0,0,0
"Vitamin E (alpha-tocopherol)",mg,11.30,15.03,0.56,3.20
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0
"Vitamin K (phylloquinone)",µg,0.0,0.0,0.0,0.0
Lipids
"Fatty acids, total saturated",g,32.268,42.916,1.613,9.148
"Fatty acids, total monounsaturated",g,47.758,63.518,2.388,13.539
"Fatty acids, total polyunsaturated",g,48.798,64.901,2.440,13.834
"Cholesterol",mg,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0
Footnotes
(a)"Other phytosterols total 51.5 mg/100g; these include delta 5-avenasterol + beta-sitostanol (19.7) and other minor phytosterols."
