Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 17:01 EST
"Nutrient data for: 12078, Nuts, brazilnuts, dried, unblanched"
Nutrient,Unit,3Value per 300 g,"3 cup, whole = 399.0g","3 kernel = 15.0g","3 oz (6 kernels) = 85.05g",
Proximates
"Water",g,10.26,13.65,0.51,2.91
"Energy",kcal,1977,2629,99,560
"Protein",g,42.96,57.14,2.15,12.18
"Total lipid (fat)",g,201.30,267.73,10.06,57.07
"Carbohydrate, by difference",g,35.22,46.84,1.76,9.98
"Fiber, total dietary",g,22.5,29.9,1.1,6.4
"Sugars, total",g,6.99,9.30,0.35,1.98
Minerals
"Calcium, Ca",mg,480,638,24,136
"Iron, Fe",mg,7.29,9.70,0.36,2.07
"Magnesium, Mg",mg,1128,1500,56,320
"Phosphorus, P",mg,2175,2893,109,617
"Potassium, K",mg,1977,2629,99,560
"Sodium, Na",mg,9,12,0,3
"Zinc, Zn",mg,12.18,16.20,0.61,3.45
Vitamins
"Vitamin C, total ascorbic acid",mg,2.1,2.8,0.1,0.6
"Thiamin",mg,1.851,2.462,0.093,0.525
"Riboflavin",mg,0.105,0.140,0.005,0.030
"Niacin",mg,0.885,1.177,0.044,0.251
"Vitamin B-6",mg,0.303,0.403,0.015,0.086
"Folate, DFE",µg,66,88,3,19
"Vitamin B-12",µg,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0,0
"Vitamin A, IU",IU,0,0,0,0
"Vitamin E (alpha-tocopherol)",mg,16.95,22.54,0.85,4.81
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0
"Vitamin K (phylloquinone)",µg,0.0,0.0,0.0,0.0
Lipids
"Fatty acids, total saturated",g,48.402,64.375,2.420,13.722
"Fatty acids, total monounsaturated",g,71.637,95.277,3.582,20.309
"Fatty acids, total polyunsaturated",g,73.197,97.352,3.660,20.751
"Cholesterol",mg,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0
Footnotes
(a)"Other phytosterols total 51.5 mg/100g; these include delta 5-avenasterol + beta-sitostanol (19.7) and other minor phytosterols."
