Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 17:02 EST
"Nutrient data for: 12155, Nuts, walnuts, english"
Nutrient,Unit,3Value per 300 g,"3 cup, chopped = 351.0g","3 cup, ground = 240.0g","3 cup, in shell, edible yield (7 nuts) = 84.0g","3 cup shelled (50 halves) = 300.0g","3 cup pieces or chips = 360.0g","3 oz (14 halves) = 85.05g",
Proximates
"Water",g,12.21,14.29,9.77,3.42,12.21,14.65,3.46
"Energy",kcal,1962,2296,1570,549,1962,2354,556
"Protein",g,45.69,53.46,36.55,12.79,45.69,54.83,12.95
"Total lipid (fat)",g,195.63,228.89,156.50,54.78,195.63,234.76,55.46
"Carbohydrate, by difference",g,41.13,48.12,32.90,11.52,41.13,49.36,11.66
"Fiber, total dietary",g,20.1,23.5,16.1,5.6,20.1,24.1,5.7
"Sugars, total",g,7.83,9.16,6.26,2.19,7.83,9.40,2.22
Minerals
"Calcium, Ca",mg,294,344,235,82,294,353,83
"Iron, Fe",mg,8.73,10.21,6.98,2.44,8.73,10.48,2.47
"Magnesium, Mg",mg,474,555,379,133,474,569,134
"Phosphorus, P",mg,1038,1214,830,291,1038,1246,294
"Potassium, K",mg,1323,1548,1058,370,1323,1588,375
"Sodium, Na",mg,6,7,5,2,6,7,2
"Zinc, Zn",mg,9.27,10.85,7.42,2.60,9.27,11.12,2.63
Vitamins
"Vitamin C, total ascorbic acid",mg,3.9,4.6,3.1,1.1,3.9,4.7,1.1
"Thiamin",mg,1.023,1.197,0.818,0.286,1.023,1.228,0.290
"Riboflavin",mg,0.450,0.526,0.360,0.126,0.450,0.540,0.128
"Niacin",mg,3.375,3.949,2.700,0.945,3.375,4.050,0.957
"Vitamin B-6",mg,1.611,1.885,1.289,0.451,1.611,1.933,0.457
"Folate, DFE",µg,294,344,235,82,294,353,83
"Vitamin B-12",µg,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,3,4,2,1,3,4,1
"Vitamin A, IU",IU,60,70,48,17,60,72,17
"Vitamin E (alpha-tocopherol)",mg,2.10,2.46,1.68,0.59,2.10,2.52,0.60
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,8.1,9.5,6.5,2.3,8.1,9.7,2.3
Lipids
"Fatty acids, total saturated",g,18.378,21.502,14.702,5.146,18.378,22.054,5.210
"Fatty acids, total monounsaturated",g,26.799,31.355,21.439,7.504,26.799,32.159,7.598
"Fatty acids, total polyunsaturated",g,141.522,165.581,113.218,39.626,141.522,169.826,40.121
"Cholesterol",mg,0,0,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0,0
Footnotes
(b)"Other phytosterols total 18.2 mg/100g; these include delta 5-avenasterol (7.3), campestanol (2.3), and other minor phytosterols (8.6 mg)."
(a)"Unroasted"
