Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 16:59 EST
"Nutrient data for: 12061, Nuts, almonds"
Nutrient,Unit,2Value per 200 g,"2 cup, whole = 286.0g","2 cup, sliced = 184.0g","2 cup, slivered = 216.0g","2 cup, ground = 190.0g","2 oz (23 whole kernels) = 56.7g","2 almond = 2.4g",
Proximates
"Water",g,8.82,12.61,8.11,9.53,8.38,2.50,0.11
"Energy",kcal,1158,1656,1065,1251,1100,328,14
"Protein",g,42.30,60.49,38.92,45.68,40.18,11.99,0.51
"Total lipid (fat)",g,99.86,142.80,91.87,107.85,94.87,28.31,1.20
"Carbohydrate, by difference",g,43.10,61.63,39.65,46.55,40.94,12.22,0.52
"Fiber, total dietary",g,25.0,35.8,23.0,27.0,23.8,7.1,0.3
"Sugars, total",g,8.70,12.44,8.00,9.40,8.26,2.47,0.10
Minerals
"Calcium, Ca",mg,538,769,495,581,511,153,6
"Iron, Fe",mg,7.42,10.61,6.83,8.01,7.05,2.10,0.09
"Magnesium, Mg",mg,540,772,497,583,513,153,6
"Phosphorus, P",mg,962,1376,885,1039,914,273,12
"Potassium, K",mg,1466,2096,1349,1583,1393,416,18
"Sodium, Na",mg,2,3,2,2,2,1,0
"Zinc, Zn",mg,6.24,8.92,5.74,6.74,5.93,1.77,0.07
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Thiamin",mg,0.410,0.586,0.377,0.443,0.389,0.116,0.005
"Riboflavin",mg,2.276,3.255,2.094,2.458,2.162,0.645,0.027
"Niacin",mg,7.236,10.347,6.657,7.815,6.874,2.051,0.087
"Vitamin B-6",mg,0.274,0.392,0.252,0.296,0.260,0.078,0.003
"Folate, DFE",µg,88,126,81,95,84,25,1
"Vitamin B-12",µg,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0,0,0,0,0
"Vitamin A, IU",IU,4,6,4,4,4,1,0
"Vitamin E (alpha-tocopherol)",mg,51.26,73.30,47.16,55.36,48.70,14.53,0.62
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lipids
"Fatty acids, total saturated",g,7.604,10.874,6.996,8.212,7.224,2.156,0.091
"Fatty acids, total monounsaturated",g,63.102,90.236,58.054,68.150,59.947,17.889,0.757
"Fatty acids, total polyunsaturated",g,24.658,35.261,22.685,26.631,23.425,6.991,0.296
"Fatty acids, total trans",g,0.030,0.043,0.028,0.032,0.028,0.009,0.000
"Cholesterol",mg,0,0,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0,0
Footnotes
(a)"Unroasted"
(b)"Other phytosterols = 58 mg/100g; these include 21 mg delta 5-avenasterol, 4 mg sitostanol, 2 mg campestanol, and 32 mg other minor phytosterols."
