Source: USDA National Nutrient Database for Standard Reference 28 Software v.2.3.7.5
Basic Report
Report Run at: February 22, 2016 16:54 EST
"Nutrient data for: 12663, Seeds, pumpkin and squash seeds, whole, roasted, with salt added"
Nutrient,Unit,2Value per 200 g,"2 cup = 128.0g","2 oz (85 seeds) = 56.7g",
Proximates
"Water",g,9.00,5.76,2.55
"Energy",kcal,892,571,253
"Protein",g,37.10,23.74,10.52
"Total lipid (fat)",g,38.80,24.83,11.00
"Carbohydrate, by difference",g,107.50,68.80,30.48
"Fiber, total dietary",g,36.8,23.6,10.4
Minerals
"Calcium, Ca",mg,110,70,31
"Iron, Fe",mg,6.62,4.24,1.88
"Magnesium, Mg",mg,524,335,149
"Phosphorus, P",mg,184,118,52
"Potassium, K",mg,1838,1176,521
"Sodium, Na",mg,5082,3252,1441
"Zinc, Zn",mg,20.60,13.18,5.84
Vitamins
"Vitamin C, total ascorbic acid",mg,0.6,0.4,0.2
"Thiamin",mg,0.068,0.044,0.019
"Riboflavin",mg,0.104,0.067,0.029
"Niacin",mg,0.572,0.366,0.162
"Vitamin B-6",mg,0.074,0.047,0.021
"Folate, DFE",µg,18,12,5
"Vitamin B-12",µg,0.00,0.00,0.00
"Vitamin A, RAE",µg,6,4,2
"Vitamin A, IU",IU,124,79,35
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0
"Vitamin D",IU,0,0,0
Lipids
"Fatty acids, total saturated",g,7.340,4.698,2.081
"Fatty acids, total monounsaturated",g,12.064,7.721,3.420
"Fatty acids, total polyunsaturated",g,17.688,11.320,5.015
"Cholesterol",mg,0,0,0
Amino Acids
Other
Footnotes
(a)"Sodium value reflects edible shells infused with salt.  Brands vary in sodium level."
